,Monthly,Intrest_Total,Payments_Total,Months
0,1400,11857.34474299971,79481.7547429997,57
1,1500,10555.185559541635,78179.59555954162,53
2,1600,9497.174610913713,77121.5846109137,49
3,1700,8628.183172822683,76252.59317282269,45
4,1800,7914.52264239816,75538.93264239817,42
5,1900,7321.677098293072,74946.08709829306,40
6,2000,6819.047590694725,74443.45759069473,38
7,2100,6387.288725279723,74011.69872527973,36
8,2200,6011.225473215363,73635.63547321537,34
9,2300,5680.17860080968,73304.58860080969,32
10,2400,5387.277538751605,73011.6875387516,31
11,2500,5124.31453200392,72748.72453200392,30
12,2600,4888.019754294407,72512.42975429441,28
13,2700,4674.393588887405,72298.80358888741,27
14,2800,4479.543162214543,72103.95316221454,26
15,2900,4301.367932326941,71925.77793232695,25
