,rate_weight,weight_total,Intrest_Total,Payments_Total,Months
0,0.0,1.0,8844.977484390218,76469.38748439022,39
1,0.05,0.95,8844.977484390218,76469.38748439022,39
2,0.1,0.9,8844.977484390218,76469.38748439022,39
3,0.15,0.85,8844.977484390218,76469.38748439022,39
4,0.2,0.8,8772.290071527977,76396.70007152797,39
5,0.25,0.75,8463.32277504386,76087.73277504387,39
6,0.3,0.7,8463.32277504386,76087.73277504387,39
7,0.35,0.65,8400.514285468817,76024.92428546882,39
8,0.4,0.6,8060.79188776088,75685.2018877609,38
9,0.45,0.55,8060.79188776088,75685.2018877609,38
10,0.5,0.5,7738.10221216675,75362.51221216677,38
11,0.55,0.45,7738.10221216675,75362.51221216677,38
12,0.6,0.4,7368.123278745872,74992.53327874589,38
13,0.65,0.35,7368.123278745872,74992.53327874589,38
14,0.7,0.3,7368.123278745872,74992.53327874589,38
15,0.75,0.25,7046.258261840532,74670.66826184053,38
16,0.8,0.2,7042.580396080814,74666.99039608083,38
17,0.85,0.15,7042.580396080814,74666.99039608083,38
18,0.9,0.1,6819.047590694725,74443.45759069473,38
19,0.95,0.05,6819.047590694725,74443.45759069473,38
20,1.0,0.0,6819.047590694725,74443.45759069473,38
